,imdb_name_id,name,dob,pob,bio
147,nm0000149,Jodie Foster,1962-11-19,"Los Angeles, California, USA","Jodie Foster started her career at the age of two. For four years she made commercials and finally gave her debut as an actress in the TV series Mayberry R.F.D. (1968). In 1975 Jodie was offered the role of prostitute Iris Steensma in the movie Taxi Driver (1976). This role, for which she received an Academy Award nomination in the ""Best Supporting Actress"" category, marked a breakthrough in her career. In 1980 she graduated as the best of her class from the College Lycée Français and began to study English Literature at Yale University, from where she graduated magna cum laude in 1985. One tragic moment in her life was March 30th, 1981 when John Warnock Hinkley Jr. attempted to assassinate the President of the United States, Ronald Reagan. Hinkley was obsessed with Jodie and the movieTaxi Driver (1976), in which Travis Bickle, played by Robert De Niro, tried to shoot presidential candidate Palantine. Despite the fact that Jodie never took acting lessons, she received two Oscars before she was thirty years of age. She received her first award for her part as Sarah Tobias in Sotto accusa (1988) and the second one for her performance as Clarice Starling in Il silenzio degli innocenti (1991)."
151,nm0000153,Gina Gershon,1962-06-10,"Los Angeles, California, USA","Since making her uncredited debut as a dancer in Beatlemania (1981), Gina Gershon has established herself as a character actress and one of the leading icons of American camp. For it was fourteen years after her movie debut that Gina made movie history as the predatory bisexual who was the leading light of a Las Vegas leg-line in director Paul Verhoeven's kitsch classic Showgirls (1995). Exploding out of a plaster-of-Paris volcano clad in nothing but body makeup and a G-string, Gina Gershon obtained cinema immortality. After Showgirls (1995), she solidified her reputation, playing a lesbian sexpot in the Wachovski Bros' neo-noir Bound - Torbido inganno (1996).Gina Gershon was born in the Los Angeles suburb of Woodland Hills, the last in a brood of three kids. Her mother, Mickey (Koppel), worked as an interior decorator, and her father, Stanley Gershon, was a salesman and worked in the import/export business. Her paternal grandparents were from Russian Jewish families, and her maternal grandparents were born in Holland and Belgium, both of them to Jewish families from Poland. Gina was raised in the San Fernando Valley, and got the acting bug early, appearing at the age of seven in a school production of Ciao ciao Birdie (1963). Because of her acting ambitions, her parents moved to Beverly Hills so Gina could attend Beverly Hills High, where she indulged her acting jones by appearing in a student production of Capobanda (1962). Her first love, she says, is singing.After graduating from high school in 1980, she attended Emerson College in Boston, but took a part in the musical ""Runaways"". She transferred to New York University, where her official biography says she studied philosophy and psychology, but she graduated from the Tisch School of the Arts, taking a bachelor of fine arts degree in drama in 1983. In New York City, while perfecting her craft, she co-founded the theater company Naked Angels with Helen Slater.Her big-screen breakthrough came with a part in the 1986 ""Brat Pack"" teenage hit Bella in rosa (1986). She also had parts in the Tom Cruise vehicle Cocktail (1988) and Arnold Schwarzenegger's Danko (1988). Of this period, she says, ""One of my first gigs, a movie called Cocktail (1988), I found myself at 8 in the morning, in bed, practically naked, having to make out with Tom Cruise; hmmmm... movie business - so far, so good"".Citing Frank Sinatra's song ""My Way"" as an inspiration, she says that following Cocktail (1988), ""I was fortunate enough to play many diversified roles in film, television and stage. Not always to the liking of my managers and agents, but I always did what I wanted...."" She played Nancy Barbato Sinatra, Frank's first wife, in the TV miniseries Sinatra (1992).Gina Gershon became a celebrity in Showgirls (1995). The following year, Gershon solidified her claim on second-tier stardom playing the calculating lesbian ""Corky"" in the crime movie Bound (1995). She never did capitalize on her mid-1990s breakthrough, but Gershon is established as a character actress and is never out of work, unlike most of her female peers who started out in the industry at the same time. Though no classic beauty, the talented thespian remains gainfully employed while many actresses of her vintage are out of work as she is possessed of a unique look and smoldering sex appeal that comes across on camera.Gershon is versatile, too, as at home on stage as she is in front of the camera. After appearing in off-Broadway and regional theater productions, she made her Broadway debut as a replacement in Sam Mendes' revival of Cabaret (1972) in January 2001. For six months, she played the key role of ""Sally Bowles"", returning that October to reprise the role for another month. In 2008, she once again appeared on Broadway in the revival of the farce ""Boeing Boeing"" on Broadway, which won the Tony award for Best Revival.Gina Gershon also is a children's book writer. In 2008, Putmam Juvenile published her ""Camp Creepy Time"", a tale of a boy who discovers aliens at his summer camp, which she co-wrote with her brother, Dann Gershon. ""Camp Creepy Time"" recently was optioned by DreamWorks, which plans to turn it into a movie. In 2008, she also released ""In Search Of Cleo"", a CD featuring nine songs which she wrote or co-wrote."
156,nm0000158,Tom Hanks,1956-07-09,"Concord, California, USA","Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has called a ""fractured"" family. He moved around a great deal after his parents' divorce, living with a succession of step-families. No problems, no alcoholism - just a confused childhood. He has no acting experience in college and credits the fact that he could not get cast in a college play with actually starting his career. He went downtown, and auditioned for a community theater play, was invited by the director of that play to go to Cleveland, and there his acting career started.Ron Howard was working on Splash - Una sirena a Manhattan (1984), a fantasy-comedy about a mermaid who falls in love with a business executive. Howard considered Hanks for the role of the main character's wisecracking brother, which eventually went to John Candy. Instead, Hanks landed the lead role and the film went on to become a surprise box office success, grossing more than $69 million. After several flops and a moderate success with the comedy La retata (1987), Hanks' stature in the film industry rose. The broad success with the fantasy-comedy Big (1988) established him as a major Hollywood talent, both as a box office draw and within the film industry as an actor. For his performance in the film, Hanks earned his first Academy Award nomination as Best Actor.Hanks climbed back to the top again with his portrayal of a washed-up baseball legend turned manager in Ragazze vincenti (1992). Hanks has stated that his acting in earlier roles was not great, but that he subsequently improved. In an interview with Vanity Fair, Hanks noted his ""modern era of movie making ... because enough self-discovery has gone on ... My work has become less pretentiously fake and over the top"". This ""modern era"" began for Hanks, first with Insonnia d'amore (1993) and then with Philadelphia (1993). The former was a blockbuster success about a widower who finds true love over the radio airwaves. Richard Schickel of Time magazine called his performance ""charming"", and most critics agreed that Hanks' portrayal ensured him a place among the premier romantic-comedy stars of his generation.In Philadelphia, he played a gay lawyer with AIDS who sues his firm for discrimination. Hanks lost 35 pounds and thinned his hair in order to appear sickly for the role. In a review for People, Leah Rozen stated, ""Above all, credit for Philadelphia's success belongs to Hanks, who makes sure that he plays a character, not a saint. He is flat-out terrific, giving a deeply felt, carefully nuanced performance that deserves an Oscar."" Hanks won the 1993 Academy Award for Best Actor for his role in Philadelphia. During his acceptance speech, he revealed that his high school drama teacher Rawley Farnsworth and former classmate John Gilkerson, two people with whom he was close, were gay.Hanks followed Philadelphia with the blockbuster Forrest Gump (1994) which grossed a worldwide total of over $600 million at the box office. Hanks remarked: ""When I read the script for Gump, I saw it as one of those kind of grand, hopeful movies that the audience can go to and feel ... some hope for their lot and their position in life ... I got that from the movies a hundred million times when I was a kid. I still do."" Hanks won his second Best Actor Academy Award for his role in Forrest Gump, becoming only the second actor to have accomplished the feat of winning consecutive Best Actor Oscars.Hanks' next role - astronaut and commander Jim Lovell, in the docudrama Apollo 13 (1995) - reunited him with Ron Howard. Critics generally applauded the film and the performances of the entire cast, which included actors Kevin Bacon, Bill Paxton, Gary Sinise, Ed Harris, and Kathleen Quinlan. The movie also earned nine Academy Award nominations, winning two. Later that year, Hanks starred in Disney/Pixar's computer-animated film Toy Story - Il mondo dei giocattoli (1995), as the voice of Sheriff Woody. A year later, he made his directing debut with the musical comedy Music Graffiti (1996) about the rise and fall of a 1960s pop group, also playing the role of a music producer."
157,nm0000159,Teri Hatcher,1964-12-08,"Palo Alto, California, USA","Teri Hatcher is an American actress, writer, presenter, and former NFL cheerleader. She is known for her television roles, portraying Lois Lane on the ABC series Lois & Clark: The New Adventures of Superman (1993-1997), and as Susan Mayer on the television series Desperate Housewives (2004-2012), for which she won the Golden Globe Award for Best Actress in a Musical or Comedy, three Screen Actors Guild Awards, and a Primetime Emmy nomination for Outstanding Lead Actress in a Comedy Series.Teri Lynn Hatcher was born in Palo Alto, California, the only child of Esther (Beshur), a computer programmer, and Owen Walker Hatcher, Jr., a nuclear physicist and electrical engineer. She has Syrian (from her immigrant maternal grandfather), Irish, English, and Czech ancestry. Teri grew up in Sunnyvale, California, and spent her childhood dancing, and fishing with her father. While at Fremont High School, she was captain of the Featherettes, a dance team that had the look of regular cheerleaders, with the exception of the large headdresses they wore. She was voted ""Most Likely to Become a Solid Gold (1980) Dancer"" by her graduating class in 1982. Hatcher studied acting at the American Conservatory Theater in San Francisco while taking a degree course in mathematics and engineering at De Anza College in Cupertino, California. She became a member of the 1984 Gold Rush, the name of the professional cheer leading squad of the American football San Francisco 49ers.Hatcher went to Hollywood to lend moral support to a friend during a open casting call. She, however, auditioned and won the role of the singing and dancing mermaid for the television series Love Boat (1977). She went on to play ""Penny Parker,"" a ditsy but sweet-hearted struggling actress on MacGyver (1985). When that show ended, she auditioned for and won the role of smart and savvy ""Lois Lane"" on Lois & Clark - Le nuove avventure di Superman (1993), saying that she didn't want to be stuck with the pretty airhead image she had acquired as ""Penny Parker.""She married actor Jon Tenney in May 1994. She gave birth to daughter Emerson Tenney on November 10, 1997. Later, she signed to play ""Sally Bowles"" in a road tour of Cabaret. The tour debuted in Los Angeles on March 2, 1999. Her final show was on September 4, 1999. She stayed out of the industry for a little bit before nabbing a role on the darkly comedic soap opera Desperate Housewives - I segreti di Wisteria Lane (2004), which could have been a huge mistake. The show turned out to be a mega-hit, which skyrocketed Hatcher to the A-list. Her portrayal of a divorced mother, ""Susan Mayer,"" was consistently named as America's favorite ""Desperate Housewife."" Hatcher won both a Golden Globe for Lead Actress in a Comedy Series and the SAG Award for Female Actor in a Comedy Series before the show's first season was even over."
158,nm0000160,Ethan Hawke,1970-11-06,"Austin, Texas, USA","Ethan Green Hawke was born on November 6, 1970 in Austin, Texas, to Leslie Carole (Green), a charity worker, and James Steven Hawke, an insurance actuary. His parents were students at the University of Texas at the time but divorced when Ethan was 5 years old. His mother raised him alone for the next five years, moving around the country, until she remarried in 1981 and the family settled in Princeton Junction, New Jersey.He attended West Windsor-Plainsboro High School and then transferred to the Hun School of Princeton and it was while he was there that he began taking acting classes at the McCarter Theatre on the Princeton campus. His early ambition had been to be a writer, but as a result of the acting lessons and appearances in student productions he persuaded his mother to allow him to attend an audition for a role in a sci-fi adolescent adventure, Explorers (1985). He got the role (along with River Phoenix) but although the movie was favourably reviewed, it met with little commercial success which discouraged Hawke from pursuing further movie roles for several years.He was admitted to the prestigious Carnegie-Mellon University to study theatre but his studies were interrupted when he won his break-through role opposite Robin Williams in L'attimo fuggente (1989) and he did not complete his degree. He then appeared in numerous films before taking a role in the Generation X drama Giovani, carini e disoccupati (1994) for which he received critical praise. He starred in the romantic drama Prima dell'alba (1995), and its later sequels Prima del tramonto (2004) and Before Midnight (2013).His subsequent acting career was a mix of theatre work (earning a number of awards and nominations, including a Tony Award nomination for his role in ""The Coast of Utopia"" at the Lincoln Center in New York), and a mix of serious and more commercial movies, notably Gattaca - La porta dell'universo (1997) (where he met his first wife, Uma Thurman) and Training Day (2001). His role as the father in the coming-of-age drama Boyhood (2014) earned him multiple award nominations, including the Academy, BAFTA, Golden Globe, and SAG Award for Best Supporting Actor.Meanwhile, he also wrote two novels: ""The Hottest State"" (1996) and ""Ash Wednesday"" (2002)."
164,nm0000166,Helen Hunt,1963-06-15,"Culver City, California, USA","Helen Hunt began studying acting at the age of eight with her father, respected director and acting coach Gordon Hunt. A year later she made her professional debut and afterwards worked steadily in films, theatre and television."
169,nm0000171,Ashley Judd,1968-04-19,"Granada Hills, California, USA","American actress and political activist Ashley Judd was born Ashley Tyler Ciminella on April 19, 1968, in Granada Hills, California. She grew up in a family of successful performing artists as the daughter of country music singer Naomi Judd and the sister of Wynonna Judd. While she is best known for an ongoing acting career spanning more than two decades, she has increasingly become involved in global humanitarian efforts and political activism."
172,nm0000174,Val Kilmer,1959-12-31,"Los Angeles, California, USA","Val Kilmer was born in Los Angeles, California, to Gladys Swanette (Ekstadt) and Eugene Dorris Kilmer, who was a real estate developer and aerospace equipment distributor. His mother, born in Indiana, was from a Swedish family, and his father was from Texas. Val studied at Hollywood's Professional's School and, in his teens, entered Juilliard's drama program. His professional acting career began on stage, and he still participates in theater; he played Hamlet at the 1988 Colorado Shakespeare Festival. His film debut was in the 1984 spoof Top Secret! (1984), wherein he starred as blond rock idol Nick Rivers. He was in a number of films throughout the 1980s, including the 1986 smash Top Gun (1986). Despite his obvious talent and range, it wasn't until his astonishingly believable performance as Jim Morrison in Oliver Stone's The Doors (1991) that the world sat up and took notice. Kilmer again put his good baritone to use in the movie, performing all of the concert pieces. Since then, he has played two more American legends, Elvis Presley in Una vita al massimo (1993) and Doc Holliday in Tombstone (1993). In July 1994, it was announced that Kilmer would be taking over the role of Batman/Bruce Wayne from Michael Keaton."
179,nm0000181,Heather Locklear,1961-09-25,"Westwood, California, USA","Heather Locklear was born on September 25, 1961 in Westwood, California, USA as Heather Deen Locklear. She is an actress and producer, known for Melrose Place (1992), The Perfect Man (2005) and Il ritorno del mostro della palude (1989). She was previously married to Richie Sambora and Tommy Lee."
188,nm0000190,Matthew McConaughey,1969-11-04,"Uvalde, Texas, USA","American actor and producer Matthew David McConaughey was born in Uvalde, Texas. His mother, Mary Kathleen (McCabe), is a substitute school teacher originally from New Jersey. His father, James Donald McConaughey, was a Mississippi-born gas station owner who ran an oil pipe supply business. He is of Irish, Scottish, English, German, and Swedish descent. Matthew grew up in Longview, Texas, where he graduated from the local High School (1988). Showing little interest in his father's oil business, which his two brothers later joined, Matthew was longing for a change of scenery, and spent a year in Australia, washing dishes and shoveling chicken manure. Back to the States, he attended the University of Texas in Austin, originally wishing to be a lawyer. But, when he discovered an inspirational Og Mandino book ""The Greatest Salesman in the World"" before one of his final exams, he suddenly knew he had to change his major from law to film.He began his acting career in 1991, appearing in student films and commercials in Texas and directed short films as Chicano Chariots (1992). Once, in his hotel bar in Austin, he met the casting director and producer Don Phillips, who introduced him to director Richard Linklater for his next project. At first, Linklater thought Matthew was too handsome to play the role of a guy chasing high school girls in his coming-of-age drama La vita è un sogno (1993), but cast him after Matthew grew out his hair and mustache. His character was initially in three scenes but the role grew to more than 300 lines as Linklater encouraged him to do some improvisations. In 1995, he starred in Non aprite quella porta IV (1995), playing a mad bloodthirsty sadistic killer, opposite Renée Zellweger.Shortly thereafter, moving to L.A., Matthew became a sensation with his performances in two high-profile 1996 films Stella solitaria (1996), where he portrayed killing suspected sheriff and in the film adaptation of John Grisham's novel Il momento di uccidere (1996), where he played an idealistic young lawyer opposite Sandra Bullock and Kevin Spacey. The actor was soon being hailed as one of the industry's hottest young leading man inspiring comparisons to actor Paul Newman. His following performances were Robert Zemeckis' Contact (1997) with Jodie Foster (the film was finished just before the death of the great astronomer and popularizer of space science Carl Sagan) and Steven Spielberg's Amistad (1997), a fact-based 1839 story about the rebellious African slaves. In 1998, he teamed again with Richard Linklater as one of the bank-robbing brothers in The Newton Boys (1998), set in Matthew's birthplace, Uvalde, Texas. During this time, he also wrote, directed and starred in the 20-minute short The Rebel (1998).In 1999, he starred in the comedy Edtv (1999), about the rise of reality television, and in 2000, he headlined Jonathan Mostow's U-571 (2000), portraying officer Lt. Tyler, in a WW II story of the daring mission of American submariners trying to capture the Enigma cipher machine.In the 2000s, he became known for starring in romantic comedies, such as Prima o poi mi sposo (2001), opposite Jennifer Lopez, and Come farsi lasciare in 10 giorni (2003), in which he co-starred with Kate Hudson. He played Denton Van Zan, an American warrior and dragons hunter in the futuristic thriller Il regno del fuoco (2002), where he co-starred with Christian Bale. In 2006, he starred in the romantic comedy A casa con i suoi (2006), and later as head coach Jack Lengyel in We Are Marshall (2006), along with Matthew Fox. In 2008, he played treasure hunter Benjamin ""Finn"" Finnegan in Tutti pazzi per l'oro (2008), again with Kate Hudson. After playing Connor Mead in La rivolta delle ex (2009), co-starring with Jennifer Garner, McConaughey took a two year hiatus to open different opportunities in his career. Since 2010, he has moved away from romantic comedies.That change came in 2011, in his first movie after that pause, when he portrayed criminal defense attorney Mickey Haller in The Lincoln Lawyer (2011), that operates mostly from the back seat of his Lincoln car. After this performance that was considered one of his best until then, Matthew played other iconic characters as district attorney Danny Buck Davidson in Bernie (2011), the wild private detective ""Killer"" Joe Cooper in Killer Joe (2011), Mud in Mud (2012), reporter Ward Jensen in The Paperboy (2012), male stripper club owner Dallas in Magic Mike (2012), starring Channing Tatum. McConaughey's career certainly reached it's prime, when he played HIV carrier Ron Woodroof in the biographical drama Dallas Buyers Club (2013), shot in less than a month. For his portrayal of Ron, Matthew won the Best Actor in the 86th Academy Awards, as well as the Golden Globe Award for Best Actor, among other awards and nominations. The same year, he also appeared in Martin Scorsese's The Wolf of Wall Street (2013). In 2014, he starred in HBO's True Detective (2014), as detective Rustin Cohle, whose job is to investigate with his partner Martin Hart, played by Woody Harrelson, a gruesome murder that happened in his little town in Louisiana. The series was highly acclaimed by critics winning 4 of the 7 categories it was nominated at the 66th Primetime Emmy Awards; he also won a Critics' Choice Award for the role.Also in 2014, Matthew starred in Christopher Nolan's sci-fi film Interstellar (2014), playing Cooper, a former NASA pilot."
198,nm0000200,Bill Paxton,1955-05-17,"Fort Worth, Texas, USA","Bill Paxton was born on May 17, 1955 in Fort Worth, Texas. He was the son of Mary Lou (Gray) and John Lane Paxton, a businessman and actor (as John Paxton). Bill moved to Los Angeles, California at age eighteen, where he found work in the film industry as a set dresser for Roger Corman's New World Pictures. He made his film debut in the Corman film Crazy Mama (1975), directed by Jonathan Demme. Moving to New York, Paxton studied acting under Stella Adler at New York University. After landing a small role in Stripes - Un plotone di svitati (1981), he found steady work in low-budget films and television. He also directed, wrote and produced award-winning short films including Barnes & Barnes: Fish Heads (1980), which aired on Il Saturday Night Live (1975). His first appearance in a James Cameron film was a small role in Terminator (1984), followed by his very memorable performance as Private Hudson in Aliens - Scontro finale (1986) and as the nomadic vampire Severen in Kathryn Bigelow's Il buio si avvicina (1987). Bill also appeared in John Hughes' La donna esplosiva (1985), as Wyatt Donnelly's sadistic older brother Chet. Although he continued to work steadily in film and television, his big break did not come until his lead role in the critically acclaimed film-noir Qualcuno sta per morire (1992). This quickly led to strong supporting roles as Wyatt Earp's naive younger brother Morgan in Tombstone (1993) and as Fred Haise, one of the three astronauts, in Apollo 13 (1995), as well as in James Cameron's offering True Lies (1994).Bill died on February 25, 2017, in Los Angeles, from complications following heart surgery. He was 61."
199,nm0000201,Michelle Pfeiffer,1958-04-29,"Santa Ana, California, USA","Michelle Pfeiffer was born in Santa Ana, California, to Donna Jean (Taverna) and Richard Pfeiffer, a heating and air-conditioning contractor. She has an older brother and two younger sisters - Dedee Pfeiffer and Lori Pfeiffer, who both dabbled in acting and modeling but decided against making it their life's work. Her parents were both originally from North Dakota. Her father had German and British Isles ancestry, and her mother was of half Swiss-German and half Swedish descent.Pfeiffer graduated from Fountain Valley High School in 1976, and attended one year at the Golden West College, where she studied to become a court reporter. But it was while working as a supermarket checker at Vons, a large Southern California grocery chain, that she realized her true calling. She was married to actor/director Peter Horton (""Gary"" of In famiglia e con gli amici (1987)) in 1981. They were later divorced, and she then had a three year relationship with actor Fisher Stevens. When that did not work out, Pfeiffer decided she did not want to wait any longer before having her own family, and in March 1993, she adopted a baby girl, Claudia Rose. On November 13th of the same year, she married lawyer-turned-writer/producer David E. Kelley, creator of La famiglia Brock (1992), Chicago Hope (1994), The Practice - Professione avvocati (1997), and Boston Public (2000). On August 5, 1994, their son John Henry was born."
207,nm0000209,Tim Robbins,1958-10-16,"West Covina, California, USA","Born in West Covina, California, but raised in New York City, Tim Robbins is the son of former The Highwaymen singer Gil Robbins and actress Mary Robbins (née Bledsoe). Robbins studied drama at UCLA, where he graduated with honors in 1981. That same year, he formed the Actors' Gang theater group, an experimental ensemble that expressed radical political observations through the European avant-garde form of theater. He started film work in television movies in 1983, but hit the big time in 1988 with his portrayal of dimwitted fastball pitcher ""Nuke"" Laloosh in Bull Durham - Un gioco a tre mani (1988). Tall with baby-faced looks, he has the ability to play naive and obtuse (Cadillac Man - Mister occasionissima (1990) and Mister Hula Hoop (1994)) or slick and shrewd (I protagonisti (1992) and Bob Roberts (1992))."
218,nm0000220,Joan Severance,1958-12-23,"Houston, Texas, USA","Joan Severance was born and raised in Houston, Texas. At the age of 18 and at the sole urging of John Casablancas of Elite models, she went to Paris, France to begin a modeling career that would turn out to be well worth the price of the ticket Casablancas sent her. Within months she graced the covers of all the international magazines and was doing shows for all the top designers. She landed campaigns for Chanel and Versace. After eight months she moved to NYC to pursue the US market and was quick to land several national commercials for Windsong perfume, Breck shampoo, Clairol, English Leather, L'oreal, Revlon and Maybeline.After several dozen commercials and a very high profile editorial career, she quit the modeling industry to head to Hollywood. Within weeks, she had a manager, an agent and was studying with several different acting coaches. It was six months later that she landed her first role on a major television series for CBS called Oltre la legge - L'informatore (1987),starring Ken Wahl and Kevin Spacey. It was only a matter of time that director Arthur Hiller cast her in Non guardarmi: non ti sento (1989) with Gene Wilder and Richard Pryor and her costar from Wiseguy, Kevin Spacey. That same year she did Due nel mirino (1990) with Mel Gibson and Goldie Hawn and No Holds Barred (1989) with Hulk Hogan. Later starring in several films, including Zalman King's Lake consequence - Un uomo e due donne (1993) with Billy Zane,She has appeared in over fifteen films. She has worked with Robert Urich on Aaron Spelling's Love Boat: The Next Wave (1998) and with Ann-Margret on Pamela Churchill - Una vita tra uomini e politica (1998) for Lifetime. SMs. Severance has been in many popular TV shows like Masters of Sex (2013) and One Tree Hill (2003) and CSI: Miami (2002)Her hobbies include interior, landscape and fashion design, cooking,reading, entertaining, writing and anything to do with horses. Severance has finished her first book, Manifest Your Mate: a Journal for Attraction. Science, health and the unknown spark her interests. She has a gourmet cooking degree from Roger Verge from The Moulin du Mougin in the South of France, owned and was the chef of a restaurant in upstate New York, owned a catering company in New York, and has taught commercial acting classes.Ms. Severance has a Bachelors Degree in Natural Health. She desires to develop a television talk show aimed at a younger audience about alternative and holistic lifestyles choices. Ms. Severance created, txTylz®, a communication game and is developing it for a mobile app."
222,nm0000224,Alicia Silverstone,1976-10-04,"San Francisco, California, USA","Alicia Silverstone was born on October 4, 1976 in San Francisco, California, the youngest of three children. She is the daughter of Didi (Radford), a former flight attendant, and Monty Silverstone, a real estate investor. Her English-born father is from a Jewish family, while her Scottish-born mother converted to Judaism. Alicia's career began at the tender age of six, when her father took some photos of his young daughter, which eventually led to her getting several television commercials. After a guest spot on The Wonder Years (1988) as a literal ""dream girl"", she moved on to movies. She landed a role in La ragazza della porta accanto (1993), a sort of Attrazione fatale (1987) for teenagers in which she portrayed a disturbed young girl obsessed with an older man. The nasty little role did not impress the critical establishment but it wowed its target audience: teenagers. In fact, the role won her the 1994 MTV Movie Award for ""Best Villain"" and ""Breakthrough Performance"". It is interesting to note that during the filming of the movie, Alicia became an emancipated minor in order to get around child labor laws which would have interfered with her working hours. She was a dedicated actress from early on.The film also caught the attention of Aerosmith, who hired her to appear in a string of their music videos. The first of them, ""Cryin'"", was voted the #1 video of all time on MTV. Silverstone was definitely a hit with the MTV crowd, but larger commercial success still eluded her. That all changed when she landed the role of Cher in Amy Heckerling's Ragazze a Beverly Hills (1995). Cher was the antithesis of Alicia's role in The Crush; this time around, she was a rich, naive yet endearing girl from Beverly Hills in search of love in the 1990s. The film was a huge box-office hit and wowed both audiences and critics alike and demonstrated Alicia's strength and bankability. She was hailed as the woman of the hour, and branded the spokeswoman for an emerging young generation. She signed a deal with Columbia TriStar worth $10 million and got the coveted role of Batgirl in the Batman franchise. Also, as part of the package, she received a three-year first-look deal for her own production company, First Kiss Productions. The first film released by First Kiss was Una ragazza sfrenata (1997)."
